frequency,word,skip1,skip2
5776384,the,at0,3209
2789403,of,prf,3209
2421302,and,cjc,3209
1939617,a,at0,3205
1695860,in,prp,3208
1468146,to,to0,3206
892937,is,vbz,3201
845350,to,prp,3205
839964,was,vbd,3123
834957,it,pnp,3188
768898,for,prp,3200
606027,with,prp,3197
605749,he,pnp,3014
603178,be,vbi,3199
590305,on,prp,3199
580267,i,pnp,2834
561041,that,cjt,3175
490673,by,prp,3190
435574,at,prp,3179
426207,you,pnp,2786
425898,'s,pos,3164
422562,are,vbb,3179
413798,not,xx0,3171
413737,his,dps,3002
404140,this,dt0,3184
390876,from,prp,3191
389108,but,cjc,3168
386510,had,vhd,3016
349120,which,dtq,3170
337345,she,pnp,2511
336599,they,pnp,3137
335976,or,cjc,3153
323963,an,at0,3173
294301,were,vbd,3069
249636,we,pnp,3029
247596,their,dps,3145
247131,been,vbn,3116
242854,has,vhz,3156
225582,have,vhb,3153
225381,will,vm0,3137
221172,would,vm0,3080
211159,her,dps,2544
206150,n't,xx0,2448
201616,there,ex0,3128
197483,can,vm0,3139
195515,all,dt0,3161
193757,as,cjs,3127
189926,if,cjs,3107
186984,who,pnq,3094
173582,what,dtq,3055
170417,have,vhi,3091
165805,that,cjt-dt0,3092
161742,that,dt0,3071
160935,said,vvd,2568
159578,its,dps,3103
157972,one,crd,3118
157300,'s,vbz,2923
152395,into,prp,3112
151029,him,pnp,2579
150609,some,dt0,3111
148165,could,vm0,3039
140989,them,pnp,3063
138167,when,avq-cjs,3061
134941,time,nn1,3085
129196,out,avp,3075
128980,my,dps,2448
127987,two,crd,3092
127430,up,avp,3040
124543,no,at0,3074
124501,then,av0,3017
123686,more,av0,3091
123315,do,vdb,2975
119113,also,av0,3091
116367,other,aj0,3098
115946,about,prp,3049
112278,these,dt0,3062
110963,me,pnp,2287
108775,first,ord,3090
108669,your,dps,2443
108593,so,av0,3050
108462,did,vdd,2842
108392,new,aj0,3067
108301,now,av0,3077
108088,may,vm0,2984
108043,any,dt0,3060
105560,as,cjs-prp,3088
105411,only,av0,3086
102554,as,prp,3052
102516,people,nn0,2911
101495,than,cjs,3056
100822,her,pnp,2040
99069,should,vm0,3025
87862,like,prp,2846
87705,as,av0,2999
87034,between,prp,3023
86823,very,av0,2976
85826,just,av0,2942
82920,many,dt0,3029
82878,years,nn2,3002
82343,way,nn1,3010
81997,our,dps,2898
81957,how,avq,2949
80538,being,vbg,3029
77238,those,dt0,3039
73237,such,dt0,2923
68574,where,avq-cjs,2985
67623,through,prp,2993
66199,even,av0,2911
65981,must,vm0,2903
65430,year,nn1,2861
64891,own,dt0,2976
64034,because,cjs,2899
63992,still,av0,2959
63738,back,avp,2817
63637,too,av0,2886
62938,down,avp,2850
61900,three,crd,3006
61194,more,dt0,3012
60084,last,ord,2943
59308,good,aj0,2902
59106,government,nn0,2036
58975,after,prp,2955
57457,do,vdi,2854
56472,however,av0,2854
55504,world,nn1,2802
54686,same,dt0,2967
54569,man,nn1,2401
54099,there,av0,2807
53555,life,nn1,2792
53540,against,prp,2828
53197,under,prp,2963
53069,might,vm0,2786
52979,most,av0,2981
52934,here,av0,2708
52654,does,vdz,2879
52344,work,nn1,2834
52320,make,vvi,2971
51796,much,av0,2920
51546,another,dt0,2943
51353,us,pnp,2705
51156,day,nn1,2802
50246,over,prp,2941
49098,old,aj0,2721
48893,while,cjs,2892
48732,see,vvi,2780
48635,never,av0,2688
48214,each,dt0,2911
47551,again,av0,2783
46789,so,cjs,2787
46519,mr,np0,1749
46474,part,nn1,2969
46405,get,vvi,2582
45950,',pos,2900
45443,made,vvn,2971
45114,one,crd-pni,2855
44443,after,cjs-prp,2884
43939,out_of,prp,2840
43813,see,vvb,2631
43778,number,nn1,2869
43686,take,vvi,2927
43521,well,av0,2902
43515,without,prp,2920
43181,different,aj0,2834
42778,children,nn2,2303
42688,system,nn1,2505
42492,within,prp,2836
42432,during,prp,2837
42067,came,vvd,2616
41974,although,cjs,2797
41844,going,vvg,2621
41099,local,aj0,2632
41008,most,dt0,2910
40982,go,vvi,2678
40819,small,aj0,2821
40783,'ll,vm0,1617
40425,social,aj0,2044
40417,case,nn1,2674
40030,always,av0,2723
39729,'m,vbb,1535
39571,both,dt0,2904
39561,'ve,vhb,1708
39366,'re,vbb,1686
39328,why,avq,2604
39156,great,aj0,2744
39072,something,pni,2556
38615,went,vvd,2420
38464,group,nn0,2684
38294,1,crd,2375
37491,per_cent,nn0,1568
37483,women,nn2,2083
37294,party,nn0,2152
36970,next,ord,2859
36938,end,nn1,2883
36626,before,prp,2881
36506,information,nn1,2519
36495,on,avp,2769
36361,important,aj0,2784
36011,men,nn2,2204
36007,took,vvd,2623
35904,know,vvi,2459
35821,often,av0,2619
35809,place,nn1,2822
35487,national,aj0,2274
35379,every,at0,2846
34682,house,nn1,2362
34414,about,av0,2697
34307,2,crd,2295
33982,given,vvn,2886
33769,london,np0,2433
33763,second,ord,2827
33756,seen,vvn,2723
33727,british,aj0,2324
33673,four,crd,2838
33459,company,nn1,2298
32880,school,nn1,2167
32758,taken,vvn,2835
32685,family,nn0,2500
32653,possible,aj0,2795
32567,large,aj0,2747
32100,hand,nn1,2592
32095,says,vvz,2240
31926,fact,nn1,2732
31855,over,avp-prp,2667
31698,night,nn1,2112
31614,such_as,prp,2564
31527,already,av0,2839
31400,area,nn1,2568
31368,home,nn1,2558
31236,business,nn1,2476
31022,state,nn1,2385
30993,things,nn2,2501
30807,development,nn1,2238
30749,money,nn1,2497
30587,having,vhg,2784
30544,one,pni,2704
30469,yet,av0,2734
30461,water,nn1,2128
30447,used,vvn,2727
30432,perhaps,av0,2567
30421,head,nn1,2392
30360,almost,av0,2672
30281,quite,av0,2562
30183,himself,pnx,2214
30149,really,av0,2410
30111,john,np0,2160
29888,nothing,pni,2485
29811,know,vvb,2304
29747,days,nn2,2663
29643,power,nn1,2463
29630,political,aj0,1632
29471,had,vhn,2698
29386,side,nn1,2503
29362,point,nn1,2696
29292,country,nn1,2558
29000,eyes,nn2,1857
28963,young,aj0,2367
28888,whether,cjs,2667
28788,off,avp,2517
28576,until,cjs,2652
28557,use,nn1,2620
28534,later,av0,2706
28390,room,nn1,2200
28267,public,aj0,2383
28197,when,cjs,2355
28167,say,vvi,2476
28152,though,cjs,2415
27925,much,dt0,2745
27345,high,aj0,2816
27336,members,nn2,2375
27321,towards,prp,2652
27304,find,vvi,2693
27162,five,crd,2739
27140,in,avp,2655
27111,service,nn1,2437
26946,others,nn2,2706
26890,able,aj0,2766
26814,all,av0,2643
26638,council,nn0,1849
26580,give,vvi,2803
26383,'d,vhd,1153
26202,think,vvb,2222
26126,both,av0,2807
26106,available,aj0,2539
26074,war,nn1,2012
26067,interest,nn1,2645
25807,done,vdn,2684
25671,week,nn1,2456
25615,police,nn2,1546
25386,problem,nn1,2559
25331,of_course,av0,2479
25210,problems,nn2,2494
24980,3,crd,2190
24807,made,vvd-vvn,2760
24775,education,nn1,1752
24766,face,nn1,2159
24704,voice,nn1,1679
24486,no,itj,1736
24458,up,avp-prp,2708
24336,research,nn1,1924
24292,knew,vvd,1850
24290,britain,np0,1942
24239,since,cjs,2668
24053,full,aj0,2812
24010,at_least,av0,2685
23977,saw,vvd,2275
23967,thought,vvd,1853
23946,body,nn1,2357
23882,'s,vhz,2240
23873,think,vvi,2200
23872,car,nn1,1896
23865,form,nn1,2521
23853,in,avp-prp,2755
23847,office,nn1,2363
23765,best,ajs,2678
23673,less,av0,2629
23632,policy,nn1,1771
23605,law,nn1,1907
23523,come,vvi,2618
23464,before,cjs-prp,2683
23414,thing,nn1,2271
23388,services,nn2,2033
23342,several,dt0,2644
23320,began,vvd,2314
23237,court,nn1,1662
23237,a_few,dt0,2556
23182,am,vbb,2113
23141,period,nn1,2319
23040,ever,av0,2528
23034,child,nn1,1868
22950,enough,av0,2508
22936,economic,aj0,1526
22927,health,nn1,1954
22921,million,crd,1809
22850,society,nn0,2066
22788,using,vvg,2550
22776,times,nn2,2731
22728,for_example,av0,2021
22719,main,aj0,2634
22716,door,nn1,1765
22652,including,prp,2615
22623,itself,pnx,2649
22622,months,nn2,2555
22595,among,prp,2504
22574,upon,prp,2327
22574,mother,nn1,1726
22558,england,np0,2059
22451,person,nn1,2293
22449,market,nn1,2040
22392,together,av0,2671
22383,themselves,pnx,2580
22362,up_to,prp,2711
22272,words,nn2,2336
22235,major,aj0,2374
22147,book,nn1,2336
22139,making,vvg,2783
22052,only,aj0,2733
22000,'d,vm0,1324
21882,long,aj0,2634
